t_qh,solar_e_prod_normalized,ambient_temperature_deg_c
1249,0,8.7
1250,0,8.7
1251,0,8.7
1252,0,8.7
1253,0,8.1
1254,0,8.1
1255,0,8.1
1256,0,8.1
1257,0,7.5
1258,0,7.5
1259,0,7.5
1260,0,7.5
1261,0,7.2
1262,0,7.2
1263,0,7.2
1264,0,7.2
1265,0,6.8
1266,0,6.8
1267,0,6.8
1268,0,6.8
1269,0,6.5
1270,0,6.5
1271,0,6.5
1272,0,6.5
1273,0,6.2
1274,0,6.2
1275,0,6.2
1276,0,6.2
1277,0.002777778,6
1278,0.002777778,6
1279,0.002777778,6
1280,0.002777778,6
1281,0.016666667,5.9
1282,0.016666667,5.9
1283,0.016666667,5.9
1284,0.016666667,5.9
1285,0.044444444,6
1286,0.044444444,6
1287,0.044444444,6
1288,0.044444444,6
1289,0.063888889,6.7
1290,0.063888889,6.7
1291,0.063888889,6.7
1292,0.063888889,6.7
1293,0.080555556,7.1
1294,0.080555556,7.1
1295,0.080555556,7.1
1296,0.080555556,7.1
1297,0.063888889,7.4
1298,0.063888889,7.4
1299,0.063888889,7.4
1300,0.063888889,7.4
1301,0.041666667,7.5
1302,0.041666667,7.5
1303,0.041666667,7.5
1304,0.041666667,7.5
1305,0.033333333,7.5
1306,0.033333333,7.5
1307,0.033333333,7.5
1308,0.033333333,7.5
1309,0.008333333,7.3
1310,0.008333333,7.3
1311,0.008333333,7.3
1312,0.008333333,7.3
1313,0,6.8
1314,0,6.8
1315,0,6.8
1316,0,6.8
1317,0,6.6
1318,0,6.6
1319,0,6.6
1320,0,6.6
1321,0,6.5
1322,0,6.5
1323,0,6.5
1324,0,6.5
1325,0,6.4
1326,0,6.4
1327,0,6.4
1328,0,6.4
1329,0,6.3
1330,0,6.3
1331,0,6.3
1332,0,6.3
1333,0,6.1
1334,0,6.1
1335,0,6.1
1336,0,6.1
1337,0,6
1338,0,6
1339,0,6
1340,0,6
1341,0,5.8
1342,0,5.8
1343,0,5.8
1344,0,5.8
1345,0,5.9
1346,0,5.9
1347,0,5.9
1348,0,5.9
1349,0,6.3
1350,0,6.3
1351,0,6.3
1352,0,6.3
1353,0,6.5
1354,0,6.5
1355,0,6.5
1356,0,6.5
1357,0,6.7
1358,0,6.7
1359,0,6.7
1360,0,6.7
1361,0,6.9
1362,0,6.9
1363,0,6.9
1364,0,6.9
1365,0,7.1
1366,0,7.1
1367,0,7.1
1368,0,7.1
1369,0,7.2
1370,0,7.2
1371,0,7.2
1372,0,7.2
1373,0,7.4
1374,0,7.4
1375,0,7.4
1376,0,7.4
1377,0.011111111,7.5
1378,0.011111111,7.5
1379,0.011111111,7.5
1380,0.011111111,7.5
1381,0.030555556,8.5
1382,0.030555556,8.5
1383,0.030555556,8.5
1384,0.030555556,8.5
1385,0.055555556,10.5
1386,0.055555556,10.5
1387,0.055555556,10.5
1388,0.055555556,10.5
1389,0.075,11.4
1390,0.075,11.4
1391,0.075,11.4
1392,0.075,11.4
1393,0.083333333,11.6
1394,0.083333333,11.6
1395,0.083333333,11.6
1396,0.083333333,11.6
1397,0.052777778,11.7
1398,0.052777778,11.7
1399,0.052777778,11.7
1400,0.052777778,11.7
1401,0.061111111,10.8
1402,0.061111111,10.8
1403,0.061111111,10.8
1404,0.061111111,10.8
1405,0.025,10.8
1406,0.025,10.8
1407,0.025,10.8
1408,0.025,10.8
1409,0,11.6
1410,0,11.6
1411,0,11.6
1412,0,11.6
1413,0,11.5
1414,0,11.5
1415,0,11.5
1416,0,11.5
1417,0,11.3
1418,0,11.3
1419,0,11.3
1420,0,11.3
1421,0,11.1
1422,0,11.1
